X,Y,Half,Player1 Name,Player1 Team,Match Name
-40.59,-0.49,0,Bobby ZAMORA,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
26.42,13.98,0,Chris BRUNT,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
47.52,-10.88,0,Peter ODEMWINGIE,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
31.07,-14.13,0,Peter ODEMWINGIE,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
24.19,-3.34,0,Graham DORRANS,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
-32.69,12.14,0,Adel TAARABT,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
44.36,17.02,0,Peter ODEMWINGIE,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
33.68,13.0,0,Youssouf MULUMBU,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
-44.04,-10.06,0,Samba DIAKITE,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
37.94,11.97,0,Peter ODEMWINGIE,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
34.21,-11.05,0,Marc-Antoine FORTUNE,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
-40.81,-8.7,0,Bobby ZAMORA,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
-39.16,-14.82,0,Jamie MACKIE,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
40.99,10.09,0,Peter ODEMWINGIE,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
-33.66,5.69,0,Jamie MACKIE,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
-28.81,3.59,1,Graham DORRANS,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
-45.26,-9.12,1,Billy JONES,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
39.86,7.56,1,Shaun WRIGHT-PHILLIPS,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
38.35,-12.86,1,Joey BARTON,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
28.15,4.43,1,Joey BARTON,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
39.5,10.63,1,Shaun WRIGHT-PHILLIPS,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
26.78,-10.97,1,Taye TAIWO,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
-36.74,-3.56,1,Shane LONG,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
30.83,14.94,1,Adel TAARABT,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
38.07,2.76,1,Bobby ZAMORA,Queens Park Rangers,12.04.14 West Bromwich Albion v Queens Park Rangers
-38.35,-0.24,1,Shane LONG,West Bromwich Albion,12.04.14 West Bromwich Albion v Queens Park Rangers
-20.82,12.36,0,Frank LAMPARD,Chelsea,11.11.05 Blackburn Rovers v Chelsea
-29.95,-14.46,0,Florent MALOUDA,Chelsea,11.11.05 Blackburn Rovers v Chelsea
46.53,-2.95,0,Yakubu AYEGBENI,Blackburn Rovers,11.11.05 Blackburn Rovers v Chelsea
24.45,-3.09,0,Ruben ROCHINA,Blackburn Rovers,11.11.05 Blackburn Rovers v Chelsea
2.73,12.88,0,Ruben ROCHINA,Blackburn Rovers,11.11.05 Blackburn Rovers v Chelsea
-33.83,1.86,0,Frank LAMPARD,Chelsea,11.11.05 Blackburn Rovers v Chelsea
-44.39,8.31,0,Daniel STURRIDGE,Chelsea,11.11.05 Blackburn Rovers v Chelsea
-30.99,-8.05,0,RAMIRES,Chelsea,11.11.05 Blackburn Rovers v Chelsea
-25.54,-3.88,1,Ruben ROCHINA,Blackburn Rovers,11.11.05 Blackburn Rovers v Chelsea
-44.77,6.16,1,Grant HANLEY,Blackburn Rovers,11.11.05 Blackburn Rovers v Chelsea
40.55,-7.75,1,RAMIRES,Chelsea,11.11.05 Blackburn Rovers v Chelsea
27.39,-18.92,1,Frank LAMPARD,Chelsea,11.11.05 Blackburn Rovers v Chelsea
23.71,10.03,1,RAMIRES,Chelsea,11.11.05 Blackburn Rovers v Chelsea
