Player Name,Start Of Half,Pass,Block,Touch,Cross,Header,Tackle,Dribble,Shot,Offside,Kick Off,Foul,Clearance,Header Shot,Goal,Throw In,Substitution,Deflection,Yellow Card,Direct Free Kick Shot,Corner Pass,Direct Free Kick Pass,Handball,Penalty Shot,Red Card,Indirect Free Kick Pass,Goalkeeper Catch,Goalkeeper Throw,Goal Kick,Goalkeeper Pick Up,Goalkeeper Kick,Goalkeeper Save Catch,Goalkeeper Save,Goalkeeper Punch,Goalkeeper Drop Catch,Ball Out Of Play,End Of Half,Post,Crossbar,Stoppage,Drop Ball,Corner Cross,Direct Free Kick Cross,Own Goal,Foul Throw,Goalkeeper Fumble,Indirect Free Kick Cross,Goals,xGoals Shot,DP Passes Made,Cr Crosses Made,CA Regains,HP Regains,BMP+,Possessions,On-pitch xG Generated,ST Involvement,BU Involvement,Ma Involvement,Player Points,Average X,Average Y,Team,Goalkeeper,IPD
Jamie MACKIE,0.037037037037037,0.1639275179098188,0.29,0.3481496795534422,0.1911764705882352,0.0688665710186513,0.5258964143426295,0.274390243902439,0.2635658914728682,0.3846153846153846,0.1282051282051282,0.2413793103448275,0.1133004926108374,0.1,0.2333333333333333,0.0181818181818181,0.3,0.1428571428571428,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333333333333,0.1676845869868005,0.0535229072271898,0.1368421052631579,0.0431564548269154,0.3159883175319455,0.1511112560262626,0.2643034825870646,0.3196980669133096,0.2418530527009946,0.1869792206894167,0.0771318177733848,0.1346761962223208,12.862224452079298,14.47243576359767,Queens Park Rangers,No,0.25951709686110014
Bobby ZAMORA,0.7407407407407407,0.2798145806995364,0.23,0.2524291916477155,0.1862745098039215,0.3012912482065997,0.5577689243027888,0.2012195121951219,0.3023255813953488,0.4615384615384615,0.6923076923076923,0.367816091954023,0.1034482758620689,0.275,0.2333333333333333,0.0103896103896103,0.6000000000000001,0.1428571428571428,0.3636363636363636,0.15,0.0344827586206896,0.0133928571428571,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333333333333,0.2231818305291084,0.0521333933337684,0.1333333333333333,0.0741077610270592,0.2456533850259064,0.4320643039733605,0.4443944072739749,0.391811888749701,0.4044527991540856,0.3855564179325128,0.1080395735279992,0.3116554983918318,15.686645937616706,6.368482138997179,Fulham,No,0.20328834297085427
Shaun DERRY,0.0,0.3573535608933839,0.37,0.191027496382055,0.0392156862745098,0.1979913916786226,0.1752988047808765,0.0426829268292682,0.0620155038759689,0.0,0.0769230769230769,0.160919540229885,0.1133004926108374,0.15,0.0333333333333333,0.0025974025974025,0.5,0.0,0.3636363636363636,0.0,0.0,0.03125,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.036419565746719,0.1448666994149957,0.0280701754385964,0.1679225292964508,0.5718192732916977,0.240156335567376,0.4327285983873734,0.2924352286456519,0.1284732420842389,0.3488930775769671,0.2139467870521563,0.1121302121100756,-2.635590480297493,4.6428181578680014,Queens Park Rangers,No,0.11496039368425687
Clint HILL,0.0,0.1580278128950695,0.33,0.0632623526979532,0.0588235294117647,0.2869440459110474,0.0398406374501992,0.0121951219512195,0.0155038759689922,0.0192307692307692,0.0,0.160919540229885,0.438423645320197,0.2,0.0,0.187012987012987,0.05,0.1428571428571428,0.3636363636363636,0.0,0.0,0.0535714285714285,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531435475567525,0.2496779556798312,0.0421052631578947,0.146185488780701,0.0965869198861153,0.1187923998327858,0.4027023971053821,0.2766912022976895,0.0919931856899489,0.1075708857059339,0.1967586730817928,0.0701582853391169,-14.537977559193278,-16.43923659945018,Queens Park Rangers,No,0.11380175729385789
Paddy KENNY,0.0,0.0994521702486304,0.01,0.0882778581765557,0.0,0.0014347202295552,0.0119521912350597,0.0060975609756097,0.0,0.0,0.0,0.057471264367816,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758928571428571,0.0,0.0,0.0,0.6704545454545455,0.6012658227848101,0.3310580204778157,0.7797927461139896,0.7960199004975124,0.8663101604278074,0.5384615384615385,0.6629213483146067,0.7999999999999999,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,Yes,0.11631946434295656
Anton FERDINAND,0.0,0.2439949431099873,0.59,0.1399627868513541,0.0049019607843137,0.5566714490674319,0.0836653386454183,0.0304878048780487,0.0077519379844961,0.0,0.0,0.2068965517241379,0.9211822660098522,0.075,0.0,0.0103896103896103,0.05,0.1428571428571428,0.1818181818181818,0.0,0.0,0.15625,0.0,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185713639237802,0.5220553126148623,0.0035087719298245,0.6317654740275179,0.1319521062504774,0.1324463093226069,0.4141791044776119,0.4444409353471183,0.0108227277282292,0.0383330180946976,0.2376536129772243,0.0431189209424263,-19.940809974008697,4.281893675418522,Queens Park Rangers,No,0.3376492971240876
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,Yes,0.0
Ben FOSTER,0.0,0.147914032869785,0.0,0.1358279925573702,0.0,0.0014347202295552,0.0119521912350597,0.0060975609756097,0.0,0.0,0.0,0.0344827586206896,0.4876847290640394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.7159090909090909,0.9113924050632912,0.6928327645051194,0.9481865284974094,0.6119402985074627,0.3048128342245989,0.7472527472527473,0.6292134831460674,0.5428571428571428,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,Yes,0.09886954644476281
Taye TAIWO,0.0,0.1588706278971765,0.47,0.11536076080215,0.1127450980392156,0.1104734576757532,0.0637450199203187,0.0670731707317073,0.0852713178294573,0.0,0.0,0.0459770114942528,0.3497536945812808,0.0,0.0333333333333333,0.2519480519480519,0.1,0.0,0.0909090909090909,0.25,0.0,0.0401785714285714,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0195218783316537,0.2547722674324738,0.0807017543859649,0.1172721662843681,0.1531436107406425,0.1128296622770723,0.5250829187396351,0.1581176411088802,0.1993185689948892,0.2515183994283672,0.2707149489322191,0.08066275285153,-7.910947572462634,-22.87094776298568,Queens Park Rangers,No,0.21366922755314016
Graham DORRANS,0.0,0.2899283607248209,0.32,0.2656605333884639,0.1029411764705882,0.0975609756097561,0.2430278884462151,0.1463414634146341,0.1860465116279069,0.0,0.0256410256410256,0.1839080459770115,0.1280788177339901,0.0,0.1,0.0207792207792207,0.65,0.0,0.3636363636363636,0.2,0.2413793103448275,0.1205357142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360655737704918,0.3170731707317073,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,Yes,0.12770884160031018
