Start Of Half,Pass,Block,Touch,Cross,Header,Tackle,Dribble,Shot,Offside,Kick Off,Foul,Clearance,Header Shot,Goal,Throw In,Substitution,Deflection,Yellow Card_x,Direct Free Kick Shot,Corner Pass,Direct Free Kick Pass,Handball,Penalty Shot,Red Card_x,Indirect Free Kick Pass,Goalkeeper Catch,Goalkeeper Throw,Goal Kick,Goalkeeper Pick Up,Goalkeeper Kick,Goalkeeper Save Catch,Goalkeeper Save,Goalkeeper Punch,Goalkeeper Drop Catch,Ball Out Of Play,End Of Half,Post,Crossbar,Stoppage,Drop Ball,Corner Cross,Direct Free Kick Cross,Own Goal,Foul Throw,Goalkeeper Fumble,Indirect Free Kick Cross,Player Name,Unnamed: 0,Goals,xGoals Shot,DP Passes Made,Cr Crosses Made,CA Regains,HP Regains,BMP+,Possessions,On-pitch xG Generated,ST Involvement,BU Involvement,Ma Involvement,Player Points,Average X,Average Y,Team,Goalkeeper,IPD,Yellow Card,Red Card,Received Goals,Games Played,gk_coef
4.0,2373.0,46.0,4837.0,42.0,98.0,152.0,94.0,76.0,2.0,2.0,48.0,29.0,1.0,4.0,17.0,2.0,4.0,2.0,3.0,20.0,56.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,6.0,0.0,0.0,0.0,0.0,Luka MODRIC,84.0,4,4.989821499388984,91.06150000000002,123.0,13.598659094968738,25.65141249999992,117.609269058,87.08333333333333,58.880736710609256,13.333333333333334,25.944444444444443,26.33333333333333,0.2341540057260244,5.188375897220704,-6.931433634999991,Tottenham Hotspur,No,0.3172664541118999,2,0,37,36,1.0277777777777777
3.0,2329.0,40.0,4463.0,24.0,104.0,80.0,61.0,58.0,1.0,1.0,27.0,21.0,6.0,6.0,6.0,7.0,0.0,8.0,2.0,1.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yaya TOURE,281.0,5,5.130799797049418,48.30700000000001,25.0,16.727222968608114,21.61269374999994,94.12389648300004,87.40625,62.21599764049879,9.96875,29.15625,30.3125,0.2529393954659708,2.7005477100317363,0.8612577457139098,Manchester City,No,0.091690666799885,8,0,26,32,0.8125
0.0,2301.0,66.0,3059.0,0.0,407.0,36.0,6.0,3.0,0.0,0.0,15.0,203.0,13.0,1.0,7.0,0.0,3.0,6.0,0.0,0.0,58.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashley WILLIAMS,319.0,1,2.636909837511923,215.03550000000007,0.0,15.543144513716909,9.62796250000001,51.09263112399999,87.0,46.22925801336275,1.4054054054054057,5.27027027027027,48.51351351351352,0.0772364096300914,-18.154876188795857,-12.414672935334542,Swansea City,No,0.329038229527033,6,0,51,37,1.3783783783783785
0.0,2206.0,51.0,2918.0,5.0,134.0,72.0,20.0,4.0,0.0,0.0,45.0,35.0,0.0,0.0,1.0,8.0,2.0,3.0,0.0,2.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leon BRITTON,323.0,0,0.0952580551776465,16.716500000000003,5.0,9.272420956876186,20.388518749999903,54.67980461399999,72.94444444444444,41.781651652682925,3.083333333333333,16.305555555555557,32.52777777777778,0.0545412452138389,-5.919095993269938,2.355197853390833,Swansea City,No,0.1959542020007743,3,0,50,36,1.3888888888888888
1.0,2188.0,51.0,3612.0,23.0,116.0,67.0,40.0,27.0,0.0,0.0,57.0,17.0,0.0,7.0,7.0,4.0,0.0,5.0,15.0,9.0,77.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,9.0,0.0,0.0,0.0,0.0,Mikel ARTETA,15.0,7,3.718915299722173,35.17700000000001,107.0,13.90969579480277,24.15027499999999,109.64507171699998,90.51612903225806,55.56592976261306,11.419354838709678,27.0,27.548387096774192,0.2010035222047396,3.020353592521389,0.0799283536567505,Everton,No,0.1200953445510389,1,0,29,31,0.935483870967742
0.0,2146.0,59.0,3769.0,15.0,139.0,116.0,38.0,7.0,0.0,0.0,39.0,29.0,5.0,1.0,4.0,4.0,0.0,10.0,0.0,0.0,16.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Alexandre SONG,1.0,1,1.5994060237757664,55.763500000000015,15.0,14.962176916067902,23.26548125,86.09223107600002,78.8529411764706,62.22280474776858,7.0,24.147058823529413,24.94117647058824,0.1299405801715835,-0.1789196564791862,0.6009670501995621,Arsenal,No,0.1637862183152744,10,0,38,34,1.1176470588235294
0.0,2146.0,96.0,2166.0,78.0,191.0,67.0,21.0,19.0,1.0,0.0,22.0,101.0,5.0,0.0,385.0,3.0,3.0,3.0,0.0,0.0,41.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Angel RANGEL,317.0,0,2.246216083779636,99.92050000000005,78.0,16.383341572198216,19.46428124999997,62.102068317,95.58823529411764,40.90334869040538,9.911764705882351,18.558823529411764,35.23529411764706,0.1157846006358873,-2.4245693911907016,25.712779784601945,Swansea City,No,0.4144474866618017,3,0,43,34,1.2647058823529411
0.0,2084.0,60.0,2061.0,14.0,149.0,42.0,9.0,27.0,0.0,0.0,21.0,30.0,2.0,2.0,7.0,1.0,2.0,4.0,0.0,0.0,54.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael CARRICK,212.0,3,1.6799079036858098,72.65600000000002,14.0,18.28772348746109,17.806187499999908,84.41801031399999,85.96666666666667,62.61898232958332,9.633333333333333,25.133333333333333,29.133333333333333,0.1505837557226658,-2.859749815325532,3.584599395786364,Manchester United,No,0.1796237174008846,4,0,22,30,0.7333333333333333
9.0,2062.0,56.0,3175.0,16.0,82.0,131.0,48.0,40.0,0.0,8.0,42.0,24.0,0.0,4.0,3.0,1.0,2.0,3.0,0.0,5.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,Joe ALLEN,321.0,4,2.1397148539270905,40.57850000000001,42.0,12.27656218406306,24.64222499999997,76.23974545800002,74.74285714285715,36.53473724114934,7.828571428571428,18.285714285714285,29.37142857142857,0.1380483677565237,0.9435987338681002,-4.126607906342396,Swansea City,No,0.2975889438216681,3,1,47,35,1.3428571428571427
0.0,2014.0,67.0,2629.0,16.0,217.0,58.0,25.0,24.0,2.0,0.0,31.0,37.0,1.0,1.0,10.0,6.0,1.0,10.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Gareth BARRY,271.0,1,1.576305893796486,78.4975,18.0,21.31495407416895,31.46809374999993,78.69930863,75.88235294117646,59.64945477503018,7.5,21.61764705882353,23.91176470588235,0.1433013111668114,-0.784841977254473,-5.873363182302509,Manchester City,No,0.1124331151286776,10,1,26,34,0.7647058823529411
0.0,1976.0,50.0,2307.0,15.0,107.0,85.0,10.0,20.0,1.0,0.0,19.0,43.0,1.0,3.0,5.0,18.0,4.0,7.0,2.0,11.0,159.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,25.0,0.0,0.0,0.0,0.0,Danny MURPHY,305.0,3,2.6251754105986524,126.3305,95.0,13.40131596072434,12.320443749999992,83.948486249,73.58333333333333,31.256049744123324,6.166666666666667,16.944444444444443,24.0,0.115489857058462,-1.6426581400512876,0.8092100581427804,Fulham,No,0.1787108916178843,7,0,49,36,1.3611111111111112
13.0,1953.0,41.0,3942.0,52.0,52.0,151.0,111.0,78.0,7.0,5.0,38.0,11.0,0.0,6.0,31.0,18.0,1.0,0.0,3.0,11.0,27.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,13.0,0.0,0.0,0.0,0.0,David SILVA,268.0,6,8.184085455105569,26.123500000000003,120.0,11.13925882117998,13.915537500000047,119.80855946200002,72.02777777777777,66.79313056756966,19.77777777777778,26.83333333333333,13.555555555555555,0.3271459809978861,14.368744891488236,0.2879895177881987,Manchester City,No,0.3307967277033082,0,0,28,36,0.7777777777777778
0.0,1866.0,51.0,2885.0,106.0,100.0,79.0,73.0,25.0,3.0,0.0,41.0,130.0,0.0,2.0,268.0,5.0,6.0,6.0,3.0,1.0,48.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Benoit ASSOU-EKOTTO,73.0,2,1.237964311644883,291.10900000000004,107.0,20.402003423080785,12.059793750000038,64.412983714,82.41176470588235,54.67355341734204,7.323529411764706,15.882352941176473,28.94117647058824,0.0948525383843806,-5.00915215874963,-24.65361247734784,Tottenham Hotspur,No,0.2507578862041014,6,0,39,34,1.1470588235294117
4.0,1850.0,32.0,3765.0,41.0,87.0,143.0,66.0,59.0,1.0,4.0,27.0,25.0,3.0,2.0,37.0,10.0,0.0,3.0,0.0,4.0,25.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Aaron RAMSEY,0.0,2,6.099114985635942,45.60850000000001,41.0,7.2939031606536116,15.77290000000004,92.001292205,71.70588235294117,48.84928090334176,11.558823529411764,24.205882352941178,18.823529411764707,0.1818741092614323,7.502414961181589,0.4101671095469573,Arsenal,No,0.2629390507829853,3,0,44,34,1.2941176470588236
0.0,1710.0,74.0,3230.0,34.0,297.0,45.0,37.0,22.0,0.0,0.0,39.0,153.0,2.0,0.0,246.0,2.0,1.0,6.0,2.0,0.0,39.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynor FIGUEROA,44.0,0,0.7222251709810533,282.4345,34.0,25.97720068003047,13.17700625000003,51.356112233000005,73.15789473684211,44.28914360139761,3.263157894736842,10.789473684210526,24.23684210526316,0.0518740915703677,-9.071975117550204,-20.423149805665496,Wigan Athletic,No,0.2905335683687106,6,0,62,38,1.631578947368421
0.0,1699.0,52.0,3774.0,123.0,102.0,92.0,91.0,13.0,0.0,0.0,30.0,87.0,0.0,0.0,304.0,1.0,2.0,2.0,0.0,1.0,59.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jose ENRIQUE,235.0,0,0.4724182196202473,168.20700000000005,124.0,25.447871306461263,11.842825000000042,65.83756351599999,75.14285714285714,52.04453031707301,9.428571428571429,15.285714285714286,25.142857142857142,0.0708754358687752,-0.1103400885606455,-24.39112763750296,Liverpool,No,0.3174814365466927,2,0,38,35,1.0857142857142856
0.0,1639.0,73.0,2699.0,15.0,97.0,69.0,33.0,19.0,1.0,3.0,41.0,54.0,0.0,0.0,17.0,8.0,3.0,9.0,0.0,0.0,19.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scott PARKER,93.0,0,0.9074231135152336,36.2295,15.0,20.41714304163344,19.60760625000008,53.640476451,74.10344827586206,48.73055911758854,6.655172413793103,17.551724137931036,25.82758620689655,0.1018012863764636,-1.167602621382266,1.4672114206168347,Tottenham Hotspur,No,0.1713993293879267,9,1,27,29,0.9310344827586208
5.0,1624.0,25.0,2832.0,43.0,105.0,135.0,95.0,121.0,2.0,6.0,34.0,11.0,14.0,27.0,13.0,6.0,0.0,1.0,12.0,4.0,11.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,Wayne ROONEY,220.0,27,22.87392366244264,51.699500000000015,58.0,7.388785618555182,14.540743750000049,95.782976316,64.88235294117646,66.28827336057977,14.0,24.73529411764705,10.705882352941176,0.4625682729666099,12.092120509817748,-3.350366459368626,Manchester United,No,0.2437146027027878,1,0,28,34,0.8235294117647058
