,Player Name,Goals,xGoals Shot,DP Passes Made,Cr Crosses Made,CA Regains,HP Regains,BMP+,Possessions,On-pitch xG Generated,ST Involvement,BU Involvement,Ma Involvement,Player Points,Average X,Average Y,Team
0,Aaron RAMSEY,0.06666666666666667,0.2362107664097966,0.15667155601510088,0.14385964912280702,0.21899690707351344,0.5012346831463241,0.7679024989377348,0.7475124378109452,0.6422388450971456,0.5316664996492635,0.8302124708404263,0.3880058987383254,0.3416763057385402,7.502414961181589,0.41016710954695734,Arsenal
1,Alexandre SONG,0.03333333333333333,0.061942908695158345,0.19155539677577818,0.052631578947368425,0.44923416112532616,0.7393355770080622,0.7185816394304124,0.8230721393034826,0.8180653127521944,0.32197614991482115,0.8281949435722843,0.5141078158282811,0.24411180667134172,-0.17891965647918623,0.6009670501995621,Arsenal
2,Andre SANTOS,0.06666666666666667,0.039157309686848864,0.08203112923337995,0.0912280701754386,0.2682686703160241,0.1974277517207406,0.20406167000742834,0.7287728026533996,0.31506064419176133,0.31277683134582623,0.6105037513397642,0.5276880222841226,0.14631139175689006,-0.1535758094929454,-21.258019599152377,Arsenal
4,Anthony PILKINGTON,0.23333333333333334,0.17072203548378212,0.14588350068187517,0.4070175438596491,0.2219117068408815,0.42674474840091076,0.2997709177647804,0.38588308457711434,0.31780182616403624,0.3158432708688245,0.30182207931404076,0.1477251624883937,0.28899788747924465,10.041329129350764,-7.732640555570923,Norwich City
5,Bradley JOHNSON,0.06666666666666667,0.09547038717402767,0.3397335705869623,0.08421052631578947,0.2849630213505216,0.7939694869505742,0.31064307326726887,0.5761815920398009,0.3537792245053465,0.1708444877099051,0.41035063543102124,0.267966573816156,0.2427963687308451,-0.48900925990985095,-6.802747357684764,Norwich City
6,David FOX,0.0,0.018488117631494518,0.35024509719726976,0.32280701754385965,0.4056144661963212,0.3786414612419921,0.46955622929297575,0.6607587064676617,0.35742299857728294,0.26119493794110493,0.5254937988056959,0.3548348587345802,0.15734551846398334,0.5315361863923387,1.9737694610934784,Norwich City
7,Elliott BENNETT,0.03333333333333333,0.05325867096335175,0.1126845958043207,0.5263157894736842,0.26660986328229774,0.41990786302395583,0.3002685777756154,0.3639378863259459,0.38048423206468107,0.3679727427597956,0.26814771509305274,0.08307588419009032,0.11368545718664924,11.388766549625169,13.41160474576124,Norwich City
8,Grant HOLT,0.5,0.4578307592849553,0.0552507823530018,0.11578947368421053,0.03303656162699272,0.20650877525747777,0.31287724788051835,0.29425787728026526,0.4395377380048179,0.3296422487223169,0.21436227224008575,0.03607242339832869,0.39232783601120147,20.203369253726393,-2.5477410709478203,Norwich City
9,Johan DJOUROU,0.0,0.015337994474222386,0.03971536434806207,0.028070175438596492,0.2641792529839328,0.16596354045119172,0.12791576096748578,0.5109867330016584,0.3368703921844603,0.12521294718909712,0.30296534476598785,0.42828845558650575,0.06239127365044667,-5.233425347084954,18.500848626105096,Arsenal
11,Kyle NAUGHTON,0.0,0.013658351718052424,0.7982765905554275,0.2,0.8354356549246637,0.5781167233874802,0.36671092844526704,0.6607587064676617,0.5021349727112085,0.3090396081771721,0.4383708467309753,0.30983635097493034,0.1003489713167427,-2.6354900650426227,8.803410364312379,Norwich City
12,Laurent KOSCIELNY,0.06666666666666667,0.15048051455999054,0.36614292241050606,0.0456140350877193,0.9249583287176882,0.2684908026880405,0.26819426671423574,0.6839853761495552,0.7938895249238348,0.050178101285426664,0.0987365617590698,0.6721026420190767,0.1959920696498544,-15.850037229688596,1.4076033099589451,Arsenal
13,Leon BARNETT,0.03333333333333333,0.04873956582490289,0.14906100464087335,0.0,0.1913498654537859,0.08241740890326413,0.051117678791075614,0.306592039800995,0.20911941667065018,0.027056819320573206,0.026227854485845782,0.16368998853023103,0.12553529104420433,-19.065967073527126,7.354704353414517,Norwich City
14,Marc TIERNEY,0.0,0.0009833267744074976,0.37444565437688293,0.22105263157894736,0.32950687314765764,0.1832320237065521,0.2073192502149909,0.6735074626865671,0.26240723663961313,0.38961819821625415,0.3349095265115693,0.2837293134524005,0.0916744501500646,-2.679476695053,-24.83527387752737,Norwich City
15,Mikel ARTETA,0.23333333333333334,0.144028737813491,0.1208378992061393,0.37543859649122807,0.4176337812966374,0.7674527472767567,0.9151689345849816,0.946376986037554,0.7305450131006618,0.5252514150684179,0.9260450160771704,0.5678497618833678,0.3776136206865467,3.020353592521389,0.07992835365675058,Arsenal
16,Per MERTESACKER,0.0,0.07095105706581704,0.1341112779062138,0.0035087719298245615,0.4123292912135669,0.12325579778724399,0.1467714595598432,0.6408730158730158,0.48995104861776656,0.026283767339985397,0.0702291634767519,0.6969094044302958,0.12944945513886605,-18.72020880010652,10.833410956124911,Arsenal
17,Robin VAN PERSIE,1.0,1.0,0.06587566856400867,0.7052631578947368,0.0888950368948255,0.28196496649880665,0.6810840728694446,0.4654523435454307,0.9113888227205713,0.5737469739083655,0.42511423252665426,0.10848849142354494,0.8054968132523367,21.404182390845325,2.386548691524123,Arsenal
18,Russell MARTIN,0.06666666666666667,0.07949891201929787,0.5463211374433631,0.09824561403508772,0.5859331240864628,0.3495437342784706,0.25023227982729246,0.5798658224031358,0.5393905897122854,0.14077745082855816,0.17772581116632563,0.35229171942263865,0.1458450381539998,-11.865051694473987,10.712220024117432,Norwich City
19,Simeon JACKSON,0.1,0.15918666175696658,0.009905224503536477,0.10526315789473685,0.028288860961432738,0.2172359105800615,0.11815933668320294,0.16098484848484845,0.24410198895572205,0.16307882917763666,0.12471986748514079,0.024360597619650547,0.2763844958066619,18.09776727622404,-4.705322963556756,Norwich City
20,Steve MORISON,0.3,0.24075079889349024,0.028973683396940668,0.18947368421052632,0.05858209859830884,0.223763156927801,0.24965596856614344,0.2854477611940298,0.3627100686447466,0.2854494438320473,0.1351743269655129,0.03213173848926757,0.24731815288918965,22.453123332670458,0.43908886637327454,Norwich City
21,Theo WALCOTT,0.26666666666666666,0.21854953980813735,0.033429059218368376,0.5228070175438596,0.18034036851822074,0.17526800459592495,0.3963775307978922,0.41593816631130054,0.7275311094905434,0.4665368702847408,0.4203950390445568,0.10306406685236769,0.3754942063987848,17.950262825417923,18.334817449489574,Arsenal
22,Thomas VERMAELEN,0.2,0.1624184008579348,0.25320069115005034,0.04912280701754386,0.4968280257116668,0.19472759610677384,0.26017403569472525,0.6835434894493052,0.6776834574355423,0.10150972214063327,0.2093358465461803,0.6439727211603112,0.20423989500570416,-12.711373240817185,-12.571188876663372,Arsenal
23,Wesley HOOLAHAN,0.13333333333333333,0.12913288849820123,0.08733154935093043,0.22105263157894736,0.2433738092053396,0.4903740793005638,0.53885501633526,0.5346939544700738,0.4827043504688311,0.519900882762893,0.5404527591022767,0.1530345235080611,0.24461265762849047,10.349289794781217,-0.3146839972655646,Norwich City
25,Yao GERVINHO,0.13333333333333333,0.20507163476560636,0.007237838747685575,0.18596491228070175,0.12684542442490498,0.18624519478559218,0.3258922402984396,0.3394411869225301,0.5175259085027741,0.4451813093210027,0.35767876282345734,0.08024273776362913,0.2813343630327535,20.9087587576555,-7.386818756151243,Arsenal
26,Yossi BENAYOUN,0.13333333333333333,0.12989971003166287,0.02470036996451501,0.014035087719298246,0.08756461931365866,0.18002838192256332,0.18178696188153318,0.27223258706467657,0.22824187091304307,0.3104770017035775,0.322400857449089,0.09688022284122563,0.2926566935218477,12.546215027546216,-7.85250219384514,Arsenal
27,Adlene GUEDIOURA,0.0,0.016542454141557462,0.020593660793723316,0.021052631578947368,0.0,0.0463761409125715,0.032855021524972855,0.22624378109452734,0.08324144138639404,0.13798977853492334,0.20921757770632368,0.0845125348189415,0.009327743032179283,6.694186748790199,8.500264597597237,Wolverhampton Wanderers
28,Albert CRUSAT,0.03333333333333333,0.020591405848965155,0.01616233094820153,0.08771929824561403,0.002588087307909549,0.08162533677464959,0.06848795247056234,0.1606965174129353,0.09252812893336937,0.13492333901192505,0.16920328688817435,0.04397400185701021,0.06424390245676953,16.886160705583666,-7.3418316924668545,Wigan Athletic
30,Antolin ALCARAZ,0.06666666666666667,0.04193669433658654,0.34832485426421034,0.010526315789473684,0.536076606475468,0.1698251899989981,0.20849166306788514,0.6262935323383084,0.4110152244275796,0.044156729131175465,0.15502679528403,0.49635654596100276,0.10748830845293794,-16.166768341649682,8.078642281540725,Wigan Athletic
31,Ben WATSON,0.1,0.17098706310569606,0.18990996499592933,0.17894736842105263,0.301356870775907,0.22024391769838286,0.28810704307773655,0.599591329068941,0.2028099114802047,0.21684108055487955,0.4328076353799826,0.3769200159172304,0.04890734552371977,-4.480526741543272,0.7921091963000603,Wigan Athletic
32,Christophe BERRA,0.0,0.05501551886567845,0.28824598346323876,0.0035087719298245615,0.5543910226613095,0.34752025613245224,0.13325648619507643,0.4655045087064676,0.5152113904441138,0.031622657580919936,0.04180064308681672,0.29824164345403903,0.039081212048981476,-19.48590166190066,-11.162493066457642,Wolverhampton Wanderers
33,Conor SAMMON,0.0,0.039131750788271996,0.0009309227815010869,0.021052631578947368,0.0,0.06350877227827009,0.07150126607370691,0.11248756218905473,0.12432760154359557,0.09751277683134583,0.07819935691318328,0.024735376044568245,0.04147175664378462,18.828650159461976,0.5080584329264881,Wigan Athletic
34,David EDWARDS,0.1,0.10138017251469562,0.11695275652762369,0.052631578947368425,0.19647907340585954,0.39321773343833544,0.22665076406842805,0.47859261385380775,0.2882349750085552,0.18752457082951118,0.30208590980295164,0.29412899078637245,0.11433794533367475,-0.8027910822343473,1.3429579382650991,Wolverhampton Wanderers
36,Emmerson BOYCE,0.1,0.059311447558969575,0.18940671707161233,0.2280701754385965,0.3833077687565405,0.22884310397734434,0.20531051401884015,0.5253539992345962,0.43175122135097166,0.2954396540427205,0.28493692802374476,0.2624169702164131,0.11153892733244766,-0.9691853185546714,24.559450993408014,Wigan Athletic
37,Franco DI SANTO,0.23333333333333334,0.23010568750053756,0.016361569034279256,0.11929824561403508,0.1435109103977967,0.23026120703609604,0.2274750395996878,0.2989933146766169,0.35239417739139023,0.28029173764906307,0.2057877813504823,0.0676357938718663,0.3109614214890888,16.45122726595561,-3.660355037436206,Wigan Athletic
38,Hugo RODALLEGA,0.06666666666666667,0.20060961704575694,0.04010009996255697,0.03859649122807018,0.0553479725976947,0.1538909947476562,0.19438857448567157,0.26154553320354745,0.2654456928981432,0.27797940893267165,0.30569924041194835,0.051083928787695285,0.17058621470568416,16.490664973052855,-4.08656617674729,Wigan Athletic
39,James MCARTHUR,0.1,0.06477513385861122,0.14424322161114908,0.021052631578947368,0.3056120654464283,0.5039576793557776,0.28498614437334474,0.48631840796019893,0.3314457123255146,0.1943726987965049,0.41378833454344294,0.27195615059753797,0.15885671523170977,0.8085101610624962,-0.9010576375515442,Wigan Athletic
40,Jamie O'HARA,0.06666666666666667,0.11354666822778811,0.3080667378885572,0.3473684210526316,0.19767145223683052,0.48260331148911906,0.44462892795982495,0.9130989787902591,0.34277317694910747,0.5810095938312562,0.7076211428893778,0.49253775106289405,0.2745719788343366,5.792400287328687,-1.4574548282049082,Wolverhampton Wanderers
41,Karl HENRY,0.0,0.02630159785381691,0.2666561322391269,0.03508771929824561,0.2628266448263814,0.424215996560006,0.3649952380645209,0.600565719788156,0.46260191211185814,0.20179150409408142,0.4624693150779656,0.42156527989936204,0.05271246859645619,-4.7396505349129505,0.7192968952428214,Wolverhampton Wanderers
42,Kevin DOYLE,0.13333333333333333,0.2676704475224975,0.01683390070386007,0.23157894736842105,0.11419294360947228,0.28826281382233393,0.32273046695185215,0.3616953113221769,0.4418227633802127,0.3136131330339167,0.2702263795511384,0.09306997552122902,0.1616280548754006,14.978615579550409,-1.2856914608889363,Wolverhampton Wanderers
43,Matthew JARVIS,0.26666666666666666,0.12321523317632681,0.052385876080780734,0.9368421052631579,0.25769648772055553,0.33564255063909126,0.49823061498317023,0.41202769934113215,0.5272401685996329,0.5780652884571114,0.31609744793024536,0.09303621169916435,0.14156824766431225,21.076745006781913,-19.86105825938427,Wolverhampton Wanderers
44,Maynor FIGUEROA,0.0,0.027970838647845754,0.9702018831434271,0.11929824561403508,0.7799564208698453,0.41874180097102504,0.42865144580332554,0.7628633150039277,0.5822851004334308,0.1500941450730745,0.3700569752355164,0.49958950300542443,0.09745283725804352,-9.071975117550204,-20.423149805665496,Wigan Athletic
45,Mohamed DIAME,0.1,0.07896877704825904,0.09916903977547929,0.0456140350877193,0.26766466811134204,0.2775936737508965,0.23454981739358016,0.42247895139686176,0.30740077996831466,0.24944306119774606,0.36012861736334406,0.21167773730447828,0.11941839045638285,6.048913163750895,-3.2330477860843745,Wigan Athletic
46,Nenad MILIJAS,0.0,0.04399392923794301,0.126672483502743,0.1473684210526316,0.09676632201782344,0.20967229703896637,0.19145729008014134,0.3536380597014925,0.15382547005952957,0.24378194207836457,0.22636655948553053,0.20303621169916433,0.030441781878059213,3.851111294528976,-9.297419158714572,Wolverhampton Wanderers
47,Richard STEARMAN,0.0,0.041212291604231045,0.27232754741351184,0.0035087719298245615,0.4315792752113428,0.23901332599786038,0.16017217923471103,0.46905058043117737,0.4283868638201252,0.11345826235093698,0.1714898177920686,0.2899535747446611,0.02489812748833955,-10.430480940744788,17.39295592708071,Wolverhampton Wanderers
48,Roger JOHNSON,0.03333333333333333,0.09061967437168399,0.3019624951478656,0.010526315789473684,0.44359469013666325,0.18697371047459835,0.12187584966023467,0.45186106504514456,0.45751045911119875,0.044293015332197615,0.03429796355841372,0.2763643866707933,0.0470921920248736,-18.49711845619141,8.818315210812717,Wolverhampton Wanderers
49,Stephen HUNT,0.1,0.19143049003716195,0.03691916086414368,0.2736842105263158,0.11085225487999578,0.3882482157026122,0.1706138433496759,0.32024771973466,0.2439012857172318,0.31622657580919933,0.21722043586995354,0.09275766016713093,0.1838645033173167,12.772225264319957,0.4185940575301285,Wolverhampton Wanderers
50,Stephen WARD,0.1,0.10337209405547955,0.6249514786557613,0.35789473684210527,0.6086766571764102,0.43315997652384075,0.4409861770749149,0.7406061796281749,0.6141764692791468,0.38491885591320724,0.4431657922942404,0.3759126227825832,0.0957786498395391,-0.5206753484754011,-23.0422175613078,Wolverhampton Wanderers
51,Steve GOHOURI,0.0,0.013551859382349481,0.11222772226210802,0.0035087719298245615,0.09875207719067393,0.054362206163187834,0.044804420160836404,0.4398009950248756,0.12500381368970334,0.07359454855195911,0.12004287245444802,0.3236211699164345,0.016133716492742353,-13.384603748002004,8.348406728974833,Wigan Athletic
52,Victor MOSES,0.2,0.3373666621185978,0.07570016729128953,0.34035087719298246,0.29597135142355574,0.39519870821536546,0.453708712566909,0.4468119926682377,0.5735517093686195,0.5568008607549538,0.43052970045693006,0.09275766016713093,0.5006662921893964,17.642605115263084,-0.12886580985039475,Wigan Athletic
54,Alex OXLADE-CHAMBERLAIN,0.06666666666666667,0.052445071397887184,0.030857857366141203,0.10175438596491228,0.06733763370238634,0.0953759710977079,0.11337632432938397,0.23721237562189051,0.17894116547194108,0.22135860306643954,0.25509110396570206,0.06312674094707521,0.10985030112010499,14.92693900337477,1.2058211100478504,Arsenal
55,Bacary SAGNA,0.03333333333333333,0.01048856961273192,0.0930270105012212,0.3017543859649123,0.20554323559713067,0.2833600303482014,0.3081851371037561,0.818082208007581,0.41953770193092116,0.5410075444146994,0.6794263257285765,0.48292877039395143,0.157789901572429,1.8902697573308669,21.65622339936106,Arsenal
56,Cheik TIOTE,0.0,0.04721092124423014,0.17146670147607943,0.06315789473684211,0.3724034768996213,0.5923613104146187,0.30916960389418957,0.7968749999999999,0.4281285146081549,0.21465076660988078,0.5287602715255448,0.4972841225626741,0.1804276077245402,-4.651118723076213,0.5634596181180415,Newcastle United
57,Danny GUTHRIE,0.03333333333333333,0.01690444855081,0.12655568876262843,0.10526315789473685,0.03130310308952634,0.2754160712388229,0.17265849729677302,0.5246424129353233,0.195493525963904,0.17536201022146508,0.45016077170418006,0.31305710306406687,0.19270536128285834,-1.8855590393254436,2.0836998840627206,Newcastle United
58,Danny SIMPSON,0.0,0.0014610715415676885,0.3933148751842094,0.2771929824561404,0.41210193220010743,0.5009159078789143,0.265246964346311,0.5403873489694385,0.6023182342256963,0.21552689218788026,0.25674475578012557,0.28563469956227616,0.10219525681407389,-5.345173938048556,23.031010533672333,Newcastle United
59,Davide SANTON,0.0,0.010108131746921751,0.1184745232885277,0.08070175438596491,0.21897598173166297,0.24116788930057403,0.18074604222971521,0.45856654228855714,0.28008354757498494,0.19165247018739354,0.24580207216863167,0.2602367688022284,0.12286708302231829,0.3767935260634445,-18.64004361091422,Newcastle United
60,Demba BA,0.5333333333333333,0.6393182951828222,0.03146587704261977,0.04912280701754386,0.03241217736573766,0.4373143829215919,0.24833812647949285,0.37033582089552236,0.5490250521618043,0.22592444132678627,0.2360506903726121,0.1321645092577421,0.6375072345356139,11.814808490457706,-3.367313245733083,Newcastle United
61,Fabricio COLOCCINI,0.0,0.0909886318314106,0.447931874315119,0.02456140350877193,0.5212869314826832,0.1604019547577456,0.19801215980336076,0.4905472636815919,0.6029036790285566,0.04336821611097591,0.07643546164446487,0.4246239554317549,0.10361880068346424,-19.235692383090758,-9.282241972877499,Newcastle United
